d5b259a84008c1dd213bcbf24bc7e19e,5.00,,衣替えを機に、毛玉のついたニット類をどうしようか悩んでいて、この商品を見つけました。買って大正解でした！薄手のニットの、細かい毛玉になりかけ程度のものも、きれいになり感動！コンセントにつないで使うので、電池交換や充電の手間もなく、いつでも使えて便利です。
d5b259a84008c1dd213bcbf24bc7e19e,5.00,気持ちいいほどとれる,カシミアのコートに使用。毛足が長いのでドキドキしながら使いました。毛玉取れました。主人の靴下に使用、分厚いウール混の靴下の毛玉が汚くて捨てようかと思ってましたがの毛玉が見事に取れて新品のようです。
d5b259a84008c1dd213bcbf24bc7e19e,5.00,,SNSで話題だったので購入。オススメされる理由がよく分かりました！かなり優秀でお気に入りの洋服など長く着れそうです。風合い調整の所が外しにくいのと音がうるさいこと以外は文句ありません！
d5b259a84008c1dd213bcbf24bc7e19e,5.00,買ってよかった,パワーも落ちないしキレイになります！捨てようと思ってた服が何枚も復活しました！ついつい押し付けすぎて布地痛めちゃったけど、使い方さえ気をつければ問題なしです！
d5b259a84008c1dd213bcbf24bc7e19e,4.00,悪くない。,100円ショップのより明らかに良いです。もっと早く買っておけば良かった。でもプチプラセーターの毛玉取りには限界あるかなぁ。プチプラは所詮プチプラですね。良質なセーターならもっと効果的なのかも知れません。でもやらないよりかはマシです。商品としては非常に良いと思います。発送も迅速でした。有難うございました！
d5b259a84008c1dd213bcbf24bc7e19e,5.00,めっちゃ取れます。,以前はコードレスがいいので電池式（2回購入）を買っていましたが、失敗！！これすごくとれるので、初めからこちらを買っておけばよかったと悔やんでいます。
d5b259a84008c1dd213bcbf24bc7e19e,5.00,これはすごい！,毛玉になってたものが、新品同様に！早く買えばよかったと思いました。コンセントなので電池切れを気にしないでいいのも助かります。
d5b259a84008c1dd213bcbf24bc7e19e,5.00,いろいろな物に使える！,いろいろな物に使える様になってました！毛玉が気になっても綺麗に取れ気持ちいいです！今からの季節に絶対使える物です。買って良かったです。
d5b259a84008c1dd213bcbf24bc7e19e,5.00,最高!!,今まで毛玉とり器は100円均一で済ませていました。100円でも毛玉は取れるものの、時間がかかって少しストレスを感じていました。そこで新しい毛玉取り器を買ってみようと決心!!届いてすぐに使ってみると、みるみる毛玉がなくなっていくー。気持ちよかったです。もっと早く購入すべきでした！テスコム最高です!!
d5b259a84008c1dd213bcbf24bc7e19e,5.00,,お気に入りのニットのワンピ！毛玉だらけで電池式の毛玉取りでは取りきれずレビューを参考に購入を決めました。繊維の質に合わせてパワーが調節でき細いニット、太いニットどのタイプも毛玉がしっかり取れて感激です！
d5b259a84008c1dd213bcbf24bc7e19e,5.00,,ほんとうによく取れる毛玉クリーナーで感動しました！コンセントタイプなのでパワーも落ちずに使えます！かなりオススメです！！
d5b259a84008c1dd213bcbf24bc7e19e,5.00,,電池切れを気にすることなく使えるのが良いですね。これに尽きます。
d5b259a84008c1dd213bcbf24bc7e19e,5.00,,子供のボロボロのパジャマが、滑らかになりました！
d5b259a84008c1dd213bcbf24bc7e19e,5.00,,娘の家で重宝しているので同じ物にしました。切れ味はわかっていますが耐久性はどうなのか？期待を込めて★5にしました。
